termino_normalizado,frecuencia,ejemplo_original
e u,2,E. U.
anoveriana,2,anoveriana
hamburgesa,2,hamburgesa
hamburgueses,2,hamburgueses
bremence,2,bremence
ingleso,2,ingleso
lamburguesa,2,Lamburguesa
arjentino,2,arjentino
oldenburguesa,2,oldenburguesa
brilero,2,brilero
polaca italiana,2,polaca italiana
bremensa,2,bremensa
prusia,2,prusia
americano oriental,2,americano oriental
donesa,2,donesa
americano nacional,2,americano nacional
nor,2,nor.
naliano,2,Naliano
holandeza,2,holandeza
nacional brasilero,2,nacional brasilero
uruguay nacional,2,Uruguay nacional
espan,2,españ
norruego,2,norruego
anglo americana,2,anglo americana
italiana inglesa,2,italiana inglesa
holandesa inglesa,2,holandesa inglesa
nat,2,nat
hol,2,hol.
brasilerio,2,brasilerio
nacido,2,nacido
italn,2,italn
italiano frances,2,italiano francés
americana oriental,2,americana oriental
colombiano,2,colombiano
frac,2,frac
frances noruego,2,francés noruego
nacional frances,2,nacional frances
frances ingles,2,francés ingles
alema,2,alema
nocional,2,nocional
ingles brazilero,2,inglés brazilero
argentinas,2,Argentinas
del diamante,2,del Diamante
oriental brazilero,2,oriental brazilero
barcelona,2,Barcelona
del parana,2,del Paraná
de colon,2,de Colon
ingles aleman,2,inglés alemán
italiana alemana,2,italiana alemana
pac,2,pac
nac de uruguay,2,nac de Uruguay
victoria,2,Victoria
nomega,2,nomega
americana de portland,2,americana de Portland
americana de canada,2,americana de Canadá
espanola de barcelona,2,española de Barcelona
americana de pensacola,2,americana de Pensacola
patagonia,2,Patagonia
americana de new york,2,americana de New York
noruega de canada,2,noruega de Canadà
string,2,string
italiana y norteamericana,2,italiana y norteamericana
noruega italiana,2,"noruega, italiana"
moruega,2,moruega
noruega e italiana,2,noruega e italiana
ingles y espanol,2,inglés y español
noruego ingles,2,noruego inglés
sueco ingles,2,sueco inglés
frances holandes,2,francés holandés
extranger,1,extranger
extranjero,1,extranjero
sintafecino,1,sintafecino
bracense,1,bracense
r,1,r.
sard,1,sard.
nanoveriana,1,nanoveriana
de s m,1,de S. M.
santaferina,1,santaferina
santa-fecino,1,santa-fecino
brasiro,1,Brasiro
ytalia,1,Ytalia
n americana,1,N. americana
brasilero de guerra,1,brasilero de guerra
montevideana,1,Montevideana
labequesa,1,labequesa
estados unidos de n a,1,Estados Unidos de N. A.
correo maritimo de s m b,1,correo Marítimo de S. M. B.
de los e u de norte america,1,de los E. U. de Norte América
de los estados unidos de norte america,1,de los Estados Unidos de Norte América
