termino_normalizado,frecuencia,ejemplo_original
lcha,3,lcha
polacra gta,3,polacra gta
pcra,3,pcra
borg gta,3,borg gta
qcho,3,qcho
ptacho,3,ptacho
vad,3,vad
baland,3,baland
ben,3,ben
paylabot,3,paylabot
lugro,3,lugro
v,3,V.
canonera encorazado,3,cañonera encorazado
brk,3,brk
bco,3,bco
bq,3,bq
fragata-escuela,3,fragata-escuela
id,3,íd
balaudra,2,Balaudra
bergantiu,2,Bergantiu
chalan,2,Chalan
bulandra,2,Bulandra
lanchou,2,Lanchou
quache,2,Quache
canoa,2,canoa
ballenora,2,Ballenora
ballena,2,Ballena
bargantin goleta,2,bargantin goleta
zumaca de guerra,2,zumaca de guerra
baladra,2,baladra
pilebot,2,pilebot
guadana,2,guadaña
polabra,2,polabra
francesa,2,francesa
carba,2,carba
gueche,2,gueche
ballanera,2,ballanera
gata,2,Gata
patacgo,2,patacgo
ba andra,2,ba andra
guleta,2,guleta
ca,2,ca
zumadera,2,Zumadera
gsleta,2,gsleta
panebot,2,pañebot
baren,2,baren
sugre,2,sugre
bernantin,2,bernantin
lagre,2,lagre
bergantin golet,2,bergantin golet
barja,2,barja
brg zueco,2,brg zueco
cergantin,2,cergantin
jarca,2,jarca
pueche,2,pueche
golega,2,golega
chna,2,chna
gt,2,gt
qneche,2,qneche
balondra,2,balondra
pailebos,2,pailebos
pailecho,2,pailecho
tacho,2,tacho
pailet,2,pailet
lancbon,2,lancbon
harca,2,harca
bargantin,2,bargantín
dailebot,2,dailebot
lancgon,2,lancgon
holeta,2,holeta
burgantin,2,burgantín
barza,2,barza
paijebot,2,paijebot
fregata,2,fregata
pailetot,2,pailetot
pailsbot,2,pailsbot
barca polaca,2,barca polaca
lanckon,2,lanckon
go,2,go
polacra-goleta,2,polacra-goleta
paliebot,2,paliebot
patacha,2,Patacha
lancha a vapor,2,lancha á vapor
vapor encorazado,2,vapor encorazado
polocra,2,polocra
americana,2,americana
barrica,2,barrica
lanchon balandra,2,lanchon balandra
berca,2,berca
bergantin polacra,2,bergantín polacra
pol,2,pol
bare,2,bare
berganti,2,berganti
pailabote,2,pailabote
arca,2,Arca
paibt,2,paibt
plab,2,plab.
quechi,2,quechi
pvot,2,pvot
esp,2,esp
pta,2,pta
bea ing,2,bea ing
quech,2,quech
ga,2,ga
barco de carga,2,barco de carga
bca zueca,2,bca zueca
bgtin gta,2,bgtin gta
gita,2,gita
pera espanola,2,pera española
pba,2,pba
pot,2,pot
fta,2,fta
bdr,2,bdr.
pb t,2,Pb.t.
pailebots,2,pailebots
bota,2,bota
obot,2,obot
fga,2,fga
gta joven,2,gta joven
vop,2,vop
vapor barca,2,vapor barca
plebt,2,plebt.
bldra,2,bldra
pbtot,2,pbtot
gdra,2,gdra
italiana,2,italiana
brg gta,2,brg gta
bt,2,bt
gota,2,gota
poot,2,poot
borgn,2,borgn
paybt,2,paybt
pbct,2,pbct
var,2,var
buq,2,buq.
bca sueca,2,bca sueca
flor,2,Flor
alm,2,alm
be it,2,be it
phot nac,2,Phot nac
vaporcito,2,Vaporcito
hea,2,hea
string,2,string
trasporte de guerra,2,trasporte de guerra
ponton faro,2,ponton faro
caza-torpedero,2,caza-torpedero
monitor-acorazado,2,monitor-acorazado
crucero acorazado,2,crucero acorazado
m m,2,M M
trasatlantico,2,trasatlántico
pailebot paquete,1,pailebot paquete
querche,1,Querche
luge de guerra,1,Luge de Guerra
galiota,1,Galiota
pateho,1,Pateho
lich,1,Lich
brca,1,Brca
galera,1,galera
bergantin goleta de guer a,1,bergantin goleta de guer.a
garundumba,1,Garundumba
garandamba,1,Garandamba
garanduruba,1,Garanduruba
carandumba,1,Carandumba
pallebat,1,Pallebat
bergantic,1,Bergantic
goleta estr,1,goleta estr.
faluchon,1,Faluchón
alianza,1,Alianza
goletin,1,Goletin
quechon,1,Quechon
bergantid,1,Bergantid
primera portena,1,Primera Porteña
polacra-barca,1,Polacra-Barca
fatacho,1,Fatacho
polacra barca,1,Polacra Barca
vapor-paquete,1,Vapor-Paquete
paileoot,1,Paileoot
bombardia,1,Bombardía
mula,1,Mula
chalena,1,chalena
vapor correo maritimo,1,vapor correo marítimo
barca-goleta,1,Barca-Goleta
barca-polacra,1,barca-polacra
fragata-vapor,1,Fragata-Vapor
paquete lugre,1,paquete lugre
paquete de vapor,1,paquete de vapor
corbeta sarda,1,corbeta sarda
bergantin goleteta,1,bergantin goleteta
corveta,1,corveta
bergantin golata,1,bergantin golata
balandera,1,balandera
bergantin lubeques,1,bergantin lubeques
polacra y bergantin,1,polacra y bergantín
bereantin,1,bereantin
balndra,1,balndra
lanchion,1,lanchion
goleta barca,1,"goleta, barca"
bacco,1,bacco
larca,1,Larca
tac lebot,1,tac lebot
coleta,1,coleta
garamdumba,1,garamdumba
bergantin patacho,1,bergantín patacho
corpol,1,corpol.
pallebet,1,pallebet
lanclion,1,lanclion
berbantin,1,berbantin
piragua,1,piragua
grafata,1,grafata
lalanda,1,lalanda
chalara,1,chalara
corbergantin,1,corbergantin
bailebo,1,bailebo
garandunga,1,Garandunga
barrenera,1,barrenera
talandra,1,talandra
sarda,1,sarda
paileboc,1,paileboc
queche-goleta,1,queche-goleta
