termino_normalizado,frecuencia,ejemplo_original
oporto,18,Oporto
talcahuano,17,Talcahuano
gotemburgo,17,Gotemburgo
sta catalina,17,Sta Catalina
machias,17,Machias
cardif,17,Cardif
dolores e o,17,Dolores (E. O.)
st mary,17,St. Mary
ushuaia,17,Ushuaia
puerto obligado,17,Puerto Obligado
pasages,16,Pasages
charleston,16,Charleston
isla de mayo,16,Isla de Mayo
canton,16,Canton
islas del parana,16,Islas del Paraná
conchas,16,Conchas
humaita,16,Humaitá
gualeguachu,15,Gualeguachú
hamburg,15,Hamburg
aguas arriba,15,aguas arriba
islas lanchon,15,Islas lanchon
benicarlo,15,Benicarló
rio parana,15,Río Paraná
halifax,15,Halifax
port elizabeth,15,Port Elizabeth
durban,15,Durban
interior de los rios,14,interior de los Rios
jacksonville,14,Jacksonville
hong kong,14,Hong Kong
la coruna,14,la Coruña
habre,14,Habre
boca,14,Boca
mar del plata,14,Mar del Plata
canal,14,canal
port natal,14,Port Natal
alburquerque,13,Alburquerque
brunswich,13,Brunswich
san vicente,13,San Vicente
pascagonla,13,Pascagonla
boulogne sur mer,13,Boulogne sur mer
copenhague,12,Copenhague
coronda,12,Coronda
buenos aires,12,Buenos Aires
mini,12,Miní
hartlepool,12,Hartlepool
santander,12,Santander
ceara,12,Ceará
callao,12,Callao
nantes,12,Nantes
de la rada,12,de la rada
puerto borghi,12,Puerto Borghi
janeiro,11,Janeiro
cuba,11,Cuba
isla,11,Isla
santafe,11,Santafé
guazu,11,Guazú
satilla,11,Satilla
rio lujan,11,Rio Lujan
salto e o,11,Salto E. O.
fiume,11,Fiume
cristiania,11,Cristianía
gefle,11,Gefle
yarmouth,11,Yarmouth
santa rosalia,11,Santa Rosalia
san nicolas de los arroyos,10,San Nicolas de los Arroyos
roterdam,10,Roterdam
martin chico,10,Martin Chico
shields,10,Shields
tenerife,10,Tenerife
sivansea,10,Sivansea
liorna,10,Liorna
christiannia,10,Christiannia
formosa,10,Formosa
napoli,10,Napoli
rada de buenos aires,10,Rada de Buenos Aires
estocolmo,10,Estocolmo
ysla de sal,9,Ysla de Sal
savanah,9,Savanah
california,9,California
marcella,9,Marcella
amburgo,9,Amburgo
cupalen,9,Cupalen
bahia-blanca,9,Bahia-Blanca
richmond,9,Richmond
caracoles,9,Caracoles
encenada,9,Encenada
amsterdan,9,Amsterdan
middlesbro,9,Middlesbró
san carlos,9,San Carlos
santa cruz,9,Santa Cruz
reconquista,9,Reconquista
gangremouth,9,Gangremouth
tampico,9,Tampico
agraciada,8,Agraciada
carril,8,Carril
fray vento,8,Fray Vento
ibiza,8,Ibiza
paraguay y corrientes,8,Paraguay y Corrientes
nueva orleans,8,Nueva Orleans
cabo de buena esperanza,8,Cabo de Buena Esperanza
la magdalena,8,La Magdalena
montes,8,Montes
mayorca,8,Mayorca
sta-fe,8,Sta-Fé
rio apa,8,Rio Apa
general lavalle,8,General Lavalle
villa pilar,8,Villa Pilar
norfolk,8,Norfolk
san jose,7,San José
rosario de santa fe,7,Rosario de Santa Fé
san fe,7,San Fè
las islas,7,las islas
asuncion del paraguay,7,Asuncion del Paraguay
pasajes,7,Pasajes
new orleans,7,New Orleans
bordeos,7,Bordeos
froon,7,Froon
pilar,7,Pilar
san francisco brasil,7,San Francisco (Brasil)
santo tome chile,7,Santo Tomé [Chile]
marsela,7,Marsela
carmelo e o,7,Carmelo (E. O.)
bateria,7,Bateria
punta piedras,7,Punta Piedras
port townsend,7,Port Townsend
puerto madryn,7,Puerto Madryn
dique,7,dique 2
la boca,7,la Boca
la rada en la boca,7,la rada en la Boca
malmo,7,Malmo
